IP,Abuse Score,Country,VT Harmless,VT Malicious,VT Suspicious
185.220.101.4,N/A,N/A,N/A,N/A,N/A
185.220.101.4,N/A,N/A,N/A,N/A,N/A
185.220.101.4,N/A,N/A,N/A,N/A,N/A
185.220.101.4,N/A,N/A,N/A,N/A,N/A
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
100.25.35.235,0,US,0,0,0
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
185.220.101.4,52,DE,53,11,3
164.58.36.231,0,US,0,0,0
164.58.36.231,0,US,0,0,0
91.219.236.122,0,HU,59,0,0
175.176.177.178,0,CN,0,0,0
155.145.135.125,0,CH,0,0,0
205.215.225.235,0,US,0,0,0
75.76.77.78,0,US,61,0,0
55.45.35.25,0,US,0,0,0
205.215.225.226,0,US,0,0,0
185.220.101.4,52,DE,53,11,3
